date,PM10,PM2.5,PM1
5/23/2019 7:54:07 PM,58.9,19.1,13.2
5/23/2019 7:54:13 PM,62.2,21.6,13.6
5/23/2019 7:54:19 PM,42.3,20.6,13.5
5/23/2019 7:54:25 PM,33.7,19.6,13.2
5/23/2019 7:54:31 PM,69.4,21,13.2
5/23/2019 7:54:37 PM,39.5,18.3,14
5/23/2019 7:54:43 PM,36.8,21.1,14.1
5/23/2019 7:54:49 PM,40.1,20.6,14.1
5/23/2019 7:54:55 PM,46.1,23.6,14.3
5/23/2019 7:55:01 PM,47.6,23.8,14.7
5/23/2019 7:55:07 PM,51.9,22.1,14.1
5/23/2019 7:55:13 PM,34.1,21.4,14
5/23/2019 7:55:19 PM,43.2,24.1,14.4
5/23/2019 7:55:25 PM,37.2,20.5,13.7
5/23/2019 7:55:31 PM,40,21.8,13.7
5/23/2019 7:55:37 PM,32.7,22.6,14.2
5/23/2019 7:55:43 PM,52.6,22.1,14
5/23/2019 7:55:49 PM,42.5,21.9,14.3
5/23/2019 7:55:55 PM,65.5,22.9,14.9
5/23/2019 7:56:01 PM,45.7,18.3,13.7
5/23/2019 7:56:07 PM,30.5,20.8,13.8
5/23/2019 7:56:13 PM,42.2,20.2,13.8
5/23/2019 7:56:19 PM,31.4,21.8,13.9
5/23/2019 7:56:25 PM,71.3,19.8,13.6
5/23/2019 7:56:31 PM,44.1,21.9,14.4
5/23/2019 7:56:37 PM,56.2,22.7,14.3
5/23/2019 7:56:43 PM,38.1,22.9,14.7
5/23/2019 7:56:49 PM,40.2,21.7,14.5
5/23/2019 7:56:55 PM,41.9,19.2,13.7
5/23/2019 7:57:01 PM,49.8,21.2,13.9
5/23/2019 7:57:07 PM,47.1,19.4,13.6
5/23/2019 7:57:13 PM,36.5,19.1,14
5/23/2019 7:57:19 PM,37.5,21.2,14.1
5/23/2019 7:57:25 PM,37.3,18.7,13.5
5/23/2019 7:57:31 PM,49.1,21,13.5
5/23/2019 7:57:37 PM,47.7,19.7,13.7
5/23/2019 7:57:43 PM,44,22.9,14.2
